,sample,process,starttime,label,read_0,write_0,rename_0,delete_0,query_information_0,filesize_0,instructions_0,branchinstructions_0,branchmispredicts_0,llcrefs_0,llcmisses_0,read_1,write_1,rename_1,delete_1,query_information_1,filesize_1,instructions_1,branchinstructions_1,branchmispredicts_1,llcrefs_1,llcmisses_1,read_2,write_2,rename_2,delete_2,query_information_2,filesize_2,instructions_2,branchinstructions_2,branchmispredicts_2,llcrefs_2,llcmisses_2,read_3,write_3,rename_3,delete_3,query_information_3,filesize_3,instructions_3,branchinstructions_3,branchmispredicts_3,llcrefs_3,llcmisses_3,read_4,write_4,rename_4,delete_4,query_information_4,filesize_4,instructions_4,branchinstructions_4,branchmispredicts_4,llcrefs_4,llcmisses_4,read_5,write_5,rename_5,delete_5,query_information_5,filesize_5,instructions_5,branchinstructions_5,branchmispredicts_5,llcrefs_5,llcmisses_5,read_6,write_6,rename_6,delete_6,query_information_6,filesize_6,instructions_6,branchinstructions_6,branchmispredicts_6,llcrefs_6,llcmisses_6,read_7,write_7,rename_7,delete_7,query_information_7,filesize_7,instructions_7,branchinstructions_7,branchmispredicts_7,llcrefs_7,llcmisses_7,read_8,write_8,rename_8,delete_8,query_information_8,filesize_8,instructions_8,branchinstructions_8,branchmispredicts_8,llcrefs_8,llcmisses_8,read_9,write_9,rename_9,delete_9,query_information_9,filesize_9,instructions_9,branchinstructions_9,branchmispredicts_9,llcrefs_9,llcmisses_9
0,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737660000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,94,17,0,2,0,0,0,0,0,0,0,1349,282,9,39,7,0,0,0,0,0,0,134,25,2,8,4,0,0,0,0,0,0,235,50,2,10,4,0,0,0,0,0,0,162,32,2,11,3,0,0,0,0,0,0,6,1,0,0,0
1,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737670000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,96,19,1,8,1,0,0,0,0,0,0,59,16,0,3,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,13,3,0,1,0,0,0,0,0,0,0,34,8,0,1,1
2,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737680000000,1,0,0,0,0,12,0,631,126,3,17,4,0,0,0,0,19,0,2284,503,9,27,4,0,1,0,0,1,1118208,15,3,0,1,1,0,0,0,0,0,0,45,9,2,6,0,5,0,0,0,5,96075776,348,68,5,13,7,0,0,0,0,1,0,175,34,2,7,1,0,1,0,0,1,1118208,15,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,266,27,1,8,2
3,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737690000000,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,13,3,0,2,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,79,16,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,9,0,0,10,622528,178,37,2,11,3
4,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737700000000,1,0,1,0,0,1,1052672,151,50,0,1,0,0,0,0,0,6,0,323,99,1,4,0,1,0,0,0,1,3145728,57,10,1,7,1,0,0,0,0,0,0,90,18,1,1,1,0,0,0,0,0,0,15,2,0,3,1,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,25,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
5,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737710000000,1,0,8,0,0,10,692512,37,7,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,119,22,2,6,1,0,0,0,0,7,0,90,23,1,1,0,0,3,0,0,27,3118,355,77,0,9,3,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
6,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737720000000,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3219456,9,1,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,4684,268,51,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737730000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,406,78,1,7,2,12,0,0,0,14,835584,55,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737740000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,1308,1021,221,15,18,3,0,0,0,0,0,0,1624,365,3,54,6,0,0,0,0,0,0,909,223,6,39,3
9,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737750000000,1,0,0,0,0,0,0,2664,639,7,59,5,0,0,0,0,0,0,1908,425,17,64,2,0,0,0,0,0,0,2525,599,6,44,4,0,0,0,0,4,0,2521,559,8,83,9,0,0,0,0,0,0,1918,413,4,50,3,0,5,0,1,27,6976,2202,440,6,80,4,0,0,0,0,5,0,1513,292,11,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,1
10,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737760000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,25,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737770000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737780000000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6701,2243,2,1,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,0,5258,1762,0,0,1,0,0,0,0,0,0,10,1,0,0,0
13,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737790000000,1,0,0,0,0,0,0,2507,840,0,0,0,0,0,0,0,0,0,2411,807,1,0,1,0,0,0,0,0,0,45,10,0,0,0,0,0,0,0,0,0,4491,1505,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3647,1222,2,0,0,0,0,0,0,0,0,119,40,0,0,0,0,0,0,0,0,0,911,305,0,0,0,0,0,0,0,0,0,4446,1491,1,0,0,0,1,0,0,1,3215360,1564,520,1,1,0
14,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737800000000,1,0,0,0,0,0,0,4283,1435,1,0,0,0,0,0,0,0,0,3373,1129,1,0,0,0,0,0,0,0,0,3736,1252,0,1,0,0,0,0,0,0,0,1841,617,1,0,0,0,0,0,0,0,0,4386,1469,1,2,0,0,0,0,0,0,0,2024,679,1,0,0,0,0,0,0,0,0,2571,860,0,0,0,0,0,0,0,4,0,4434,1435,4,8,1,1,0,0,0,10,1845468,5643,1035,30,91,17,1,153,0,0,155,142366143,10022,1934,25,126,14
15,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737810000000,1,1,0,0,0,2,809505,10122,1926,28,99,7,0,0,0,0,0,0,11426,1954,15,98,6,0,0,0,0,0,0,7510,1280,30,74,8,0,0,0,0,2,0,2273,460,10,55,4,0,0,0,0,0,0,96,20,1,4,1,0,0,0,0,0,0,988,221,4,9,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1335,288,2,3,2,0,0,0,0,0,0,7035,1961,2,5,1,0,0,0,0,0,0,8219,2198,3,6,2
16,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737820000000,1,0,0,0,0,0,0,8213,2506,4,3,2,0,0,0,0,0,0,7349,2243,2,6,0,0,0,0,0,0,0,8496,2640,6,3,1,0,0,0,0,0,0,7958,2322,8,2,2,0,0,0,0,0,0,10105,3121,8,4,2,0,0,0,0,0,0,6709,2068,5,7,4,0,0,0,0,0,0,12533,3848,9,6,2,0,0,0,0,0,0,12304,3736,4,4,0,0,0,0,0,0,0,9954,2923,3,4,0,0,0,0,0,0,0,4619,1494,0,1,0
17,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737830000000,1,0,0,0,0,0,0,8469,2553,3,3,1,0,0,0,0,0,0,10765,3248,4,4,1,0,0,0,0,0,0,7262,2242,6,0,1,0,0,0,0,0,0,7995,2515,5,2,1,0,0,0,0,0,0,10296,2964,14,7,2,0,0,0,0,0,0,5348,1526,5,3,1,0,0,0,0,0,0,10006,3220,6,1,0,0,0,0,0,0,0,3017,640,14,6,2,0,0,0,0,0,0,8679,2910,3,0,0,0,0,0,0,0,0,3450,806,11,6,2
18,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737840000000,1,0,0,0,0,0,0,12236,4009,5,2,2,0,0,0,0,0,0,1490,250,8,3,1,0,0,0,0,0,0,9752,3030,7,4,1,0,0,0,0,0,0,1256,284,3,2,1,0,0,0,0,0,0,11471,3527,13,10,2,0,0,0,0,0,0,1884,574,4,3,1,0,0,0,0,0,0,9478,2851,13,9,2,0,0,0,0,0,0,3313,1111,1,0,0,0,0,0,0,0,0,8998,2703,10,4,2,0,0,0,0,0,0,1736,583,1,0,0
19,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737850000000,1,0,0,0,0,0,0,9567,2795,12,10,3,0,0,0,0,0,0,2614,877,1,1,0,0,0,0,0,0,0,6347,1847,11,14,5,0,0,0,0,0,0,5049,1654,4,2,2,0,0,0,0,0,0,569,189,0,0,0,0,0,0,0,0,0,9659,2946,9,7,2,0,0,0,0,0,0,1234,413,1,0,0,0,0,0,0,0,0,4478,1116,6,5,3,0,0,0,0,0,0,6556,2154,1,0,0,0,0,0,0,0,0,1216,406,0,1,1
20,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737860000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4149,879,5,9,3,0,0,0,0,0,0,5732,1920,1,1,0,0,0,0,0,0,0,2090,699,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472,225,1,7,3,0,0,0,0,0,0,5124,1717,2,0,0,0,0,0,0,0,0,4119,1379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,169,1,0,0
21,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737870000000,1,0,0,0,0,0,0,5750,1928,1,0,0,0,0,0,0,0,0,7793,2612,2,0,0,0,0,0,0,0,0,1062,356,0,0,1,0,0,0,0,0,0,127,43,0,0,0,0,0,0,0,0,0,4635,1554,0,0,0,0,0,0,0,0,0,6193,2075,1,0,0,0,0,0,0,0,0,3778,1267,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,61,139264,3059,915,3,15,5,0,0,0,1,34,0,4747,1512,4,23,5
22,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737880000000,1,0,0,0,0,4,0,1356,275,10,34,10,64,0,0,0,64,201326592,1879,413,7,27,7,0,0,0,0,0,0,991,200,6,15,10,8,0,0,0,8,25165824,2098,388,17,45,10,5,3,0,0,15,15840679,2665,517,18,25,6,1,2,0,0,7,3272198,5477,1096,32,53,11,8,13,0,0,40,25356742,7253,1438,45,124,23,74,0,0,0,78,232783872,5770,1304,26,100,5,10,0,0,0,10,31457280,3926,833,32,92,11,21,0,0,0,21,66060288,3568,751,20,84,16
23,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737890000000,1,0,0,0,0,0,0,1661,355,8,61,6,0,0,0,0,0,0,640,150,4,26,2,0,0,0,0,0,0,431,90,3,19,3,0,0,0,0,0,0,199,39,3,12,2,0,0,0,0,0,0,330,63,1,20,4,0,0,0,0,0,0,55,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737950000000,1,0,0,0,0,5,0,5153,765,17,33,9,0,0,0,0,37,0,1725,385,6,37,7,0,0,0,0,6,0,1862,330,9,28,7,0,0,0,0,2,0,4663,809,18,67,15,1,0,0,0,6,50253,5640,1044,14,73,12,1,1,0,0,5,1504343,4398,904,15,58,11,1,0,0,0,1,1491350,2151,422,10,41,4,1,0,0,0,1,1491350,6166,1325,19,75,9,0,0,0,0,0,0,3024,667,8,68,9,0,0,0,0,1,0,1841,370,11,74,10
25,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737960000000,1,0,0,0,0,0,0,2503,493,13,72,12,0,0,0,0,0,0,2200,511,7,65,5,0,0,0,0,0,0,1615,329,5,52,3,0,0,0,0,0,0,2667,554,12,62,10,0,0,0,0,0,0,4799,1003,17,103,12,0,1,0,0,1,18266,4945,1030,23,120,13,0,0,0,0,0,0,4675,997,16,95,7,0,3,0,0,3,29764,4604,946,18,112,9,0,2,0,0,2,38516,4299,840,20,121,9,0,0,0,0,0,0,1610,369,12,62,8
26,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737970000000,1,0,0,0,0,0,0,2122,440,8,63,6,0,0,0,0,0,0,2441,593,6,54,7,0,0,0,0,0,0,1331,276,4,36,4,0,0,0,0,0,0,1848,426,8,36,5,0,0,0,0,0,0,1405,307,3,27,4,0,0,0,0,0,0,1197,246,8,51,2,0,0,0,0,0,0,1222,285,4,15,2,9,0,0,0,14,2874,1580,318,7,28,3,0,0,0,0,0,0,1237,278,4,37,3,0,0,0,0,0,0,2263,458,5,75,5
27,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737980000000,1,0,1,0,0,1,14145,1986,447,8,59,3,0,0,0,0,0,0,2472,493,6,51,5,0,39,0,0,39,9007104,4013,825,8,62,8,0,0,0,0,0,0,2282,458,9,58,8,0,0,0,0,0,0,161,34,0,14,2,0,0,0,0,0,0,702,133,1,13,4,0,0,0,0,0,0,156,35,1,12,2,0,0,0,0,0,0,100,21,1,8,0,0,7,0,0,7,2519040,90,18,1,5,1,0,5,0,0,5,3428352,109,23,0,11,1
28,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497737990000000,1,0,0,0,0,0,0,1691,356,7,48,2,0,12,0,0,12,3850240,280,57,1,22,5,0,23,0,0,23,16412672,783,145,6,43,3,0,0,0,0,0,0,1893,404,11,63,7,0,8,0,0,9,824352,505,101,4,18,3,0,0,0,0,0,0,396,88,1,8,1,0,0,0,0,0,0,1738,367,6,39,4,0,0,0,0,0,0,1318,282,4,48,2,0,0,0,0,0,0,1765,358,8,74,6,0,6,0,0,6,417792,1500,319,4,47,5
29,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738000000000,1,0,25,0,0,109,24875008,3394,720,16,93,17,0,8,0,0,10,10649600,3317,787,12,85,8,0,0,0,0,3,0,1654,337,9,43,7,0,0,0,0,1,0,3219,630,12,44,9,0,2,1,0,7,151694,2418,532,9,55,9,0,8,0,0,10,956192,635,135,2,17,3,0,0,0,0,0,0,1977,403,11,62,3,0,1,0,0,9,10271,1685,353,10,55,5,0,0,0,0,0,0,3317,731,10,61,9,5,12,0,0,18,18363309,7066,1156,24,58,16
30,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738010000000,1,1,0,0,0,1,2728361,5731,1223,9,28,6,12,47,23,0,129,211113,6132,1071,13,51,9,29,88,51,0,269,12601622,8906,1508,13,72,11,23,60,41,0,207,6355587,7957,1524,14,52,12,20,57,38,0,192,2729197,7719,1274,26,54,15,23,57,38,0,195,3868247,10297,1817,27,62,15,22,57,36,0,190,5434622,9893,1707,26,51,14,20,57,40,0,195,272546,8845,1516,14,34,7,12,36,24,0,120,220487,3878,586,7,29,8,0,0,0,0,0,0,1766,258,5,12,7
31,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738020000000,1,0,0,0,0,0,0,2100,353,6,16,11,2,13,5,0,30,351032,1901,289,5,14,5,12,38,23,0,118,3647741,3275,477,6,19,3,17,54,35,0,175,685459,5589,870,12,43,4,17,51,33,0,170,799839,5846,946,13,44,5,20,57,40,0,194,1060412,6143,946,11,29,5,17,53,34,0,173,3360364,6534,1074,12,41,5,20,60,40,0,200,1466327,6252,920,12,34,4,20,60,42,0,203,1620739,6409,941,12,32,4,19,57,38,0,191,1722212,6785,1024,15,45,6
32,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738030000000,1,23,57,38,0,193,64858857,7245,1119,17,52,7,26,48,30,0,168,174753981,9860,1554,16,43,14,19,27,20,0,105,142661245,10265,1586,14,41,13,0,0,0,0,0,0,9012,1659,16,38,16,3,9,6,0,30,383751,7358,1294,21,25,10,15,49,28,2,150,9875130,7536,1115,31,28,7,18,54,36,0,180,2398777,11046,1662,30,65,21,19,57,38,0,190,2481514,10808,2054,44,84,26,19,57,38,0,189,2481514,10353,1455,36,77,21,14,42,28,0,140,1861616,7861,1253,31,73,28
33,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738040000000,1,15,48,31,0,156,2298653,8744,1485,35,146,32,16,46,31,0,157,2571690,8228,1292,31,70,16,13,39,26,0,129,2258633,4611,707,10,18,2,13,39,26,0,131,2452542,4925,727,15,18,2,13,39,26,0,130,2651157,4717,654,13,21,5,15,45,30,1,152,3304801,5760,831,17,31,6,13,42,26,0,133,3277864,5666,801,19,18,7,11,33,22,0,110,2927059,4861,664,13,25,4,14,39,28,0,137,3691676,5548,748,18,14,4,13,39,26,0,130,3983498,6156,849,20,26,8
34,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738050000000,1,14,39,26,0,130,7623332,6168,823,24,26,4,11,36,22,0,114,4432886,5869,763,21,16,2,13,36,26,0,127,5029197,6563,867,24,14,2,10,33,22,0,109,4703668,5290,702,20,13,2,12,33,22,0,111,5019987,5645,795,20,17,3,10,31,20,0,101,4791979,5902,788,24,23,5,11,32,22,0,109,5221966,5760,773,21,17,4,10,30,20,0,100,5429770,6275,793,25,13,3,10,30,20,0,100,6081635,6478,838,27,13,4,9,32,20,0,101,8502682,6412,858,29,14,4
35,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738060000000,1,2,6,4,0,20,1500848,1607,197,7,4,2,2,6,4,0,20,1378347,1223,172,6,2,1,2,6,4,0,20,1511472,1522,198,7,3,2,2,6,4,0,20,1463800,1281,175,6,2,0,7,18,12,0,61,5236534,5372,701,20,11,7,7,21,14,0,70,5745276,4649,608,19,14,6,11,21,14,0,73,6969075,4889,636,20,12,4,15,30,16,0,94,11641277,7571,925,30,13,3,13,23,12,0,72,10296668,7751,954,33,10,2,17,30,18,0,101,13451243,7542,977,33,13,5
36,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738070000000,1,13,21,12,0,69,10525817,6096,792,26,10,3,12,26,14,0,81,12459402,6742,895,30,9,4,11,19,10,0,60,10129904,6247,837,30,14,4,3,8,4,0,23,4124008,2349,256,10,2,2,2,4,2,0,12,2306240,1572,189,9,5,2,3,4,2,0,13,2854865,2394,282,12,4,1,1,4,2,0,11,1885568,812,91,3,4,3,3,4,2,0,13,2854262,2002,230,8,1,1,3,7,4,0,22,3535815,1717,234,9,3,2,11,18,10,0,59,10879074,5777,791,27,10,4
37,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738080000000,1,9,19,10,0,58,11949799,7036,856,35,10,4,10,18,8,0,52,12677496,6927,858,34,7,3,10,19,12,0,65,12616494,6260,816,31,10,3,15,22,10,0,67,18212180,7709,952,33,11,4,13,19,8,0,56,16287386,7335,907,31,21,8,11,20,8,0,55,16407673,5767,681,26,11,6,12,15,6,0,44,14849937,6969,864,29,11,6,3,8,4,0,24,6432707,2923,313,12,6,1,3,4,0,0,7,4249833,2490,275,12,2,2,7,11,6,0,36,10814468,4296,513,21,7,3
38,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738090000000,1,10,15,6,0,42,16368340,7017,788,31,12,3,10,15,6,0,44,16816210,7091,831,35,7,3,9,14,6,0,41,16244844,6815,783,36,7,2,12,22,8,0,58,26170539,7955,922,39,9,2,14,20,8,0,58,26306864,7979,932,41,8,2,13,17,6,0,48,24466582,8329,1013,36,10,4,10,15,4,0,37,21679084,7836,881,40,7,3,10,15,6,0,43,22169709,7585,888,35,7,3,11,17,5,0,42,23874273,8008,884,36,9,3,9,13,5,0,38,21685128,7159,810,32,10,3
39,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738100000000,1,7,13,4,0,32,19548130,6454,775,35,8,1,1,0,0,0,1,1024471,526,75,3,0,1,3,5,2,0,14,7454545,1468,178,8,3,1,1,0,0,0,1,1026560,625,84,3,0,0,8,13,4,0,33,21285519,6557,700,33,6,2,9,11,2,0,26,20586304,7307,806,37,6,2,11,16,6,0,45,28539665,7437,856,35,7,2,13,15,4,0,40,30405912,7539,916,41,6,3,11,14,4,0,36,29768838,7223,814,38,6,3,8,13,4,0,34,24785558,7236,789,37,5,1
40,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738110000000,1,10,13,4,0,35,27452529,7621,877,41,6,2,10,13,4,0,35,28538304,7849,866,37,6,2,7,12,4,0,31,23923616,7941,909,39,6,2,11,14,4,0,37,31020362,7186,826,38,6,2,9,11,2,0,26,25214416,6356,746,40,4,1,9,12,4,0,33,28448172,8004,884,35,7,1,10,12,2,0,28,31000766,7227,828,38,4,1,13,15,4,0,40,38500786,7044,848,33,6,3,13,15,6,0,46,39422004,8084,922,36,8,3,13,13,4,0,38,37365056,7264,870,39,12,4
41,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738120000000,1,11,15,2,0,32,42995978,8042,975,49,7,2,7,8,2,0,21,25663322,7263,836,57,6,2,20,20,6,0,58,73910078,8324,1072,36,11,3,12,15,4,0,39,52406125,7345,835,34,7,3,10,14,2,0,30,51466832,6995,775,34,8,2,9,12,2,0,27,43587776,7862,860,36,13,5,9,11,2,0,25,45155864,10576,1126,41,67,44,8,9,2,0,24,38965221,13024,1358,42,140,93,7,8,0,0,15,34841835,13066,1811,76,46,24,10,15,4,0,37,56628868,11079,1743,34,56,33
42,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738130000000,1,12,12,2,0,30,55497606,8531,1263,29,21,12,7,8,0,0,15,36965565,6476,665,32,2,1,10,11,2,0,26,52117052,7630,916,36,9,3,8,13,2,0,29,45240044,6883,800,44,6,3,13,11,2,0,30,62732136,6540,756,34,8,3,9,10,2,0,25,49735744,6617,730,33,16,2,8,9,2,0,23,47173008,7112,753,37,5,1,6,7,0,0,13,36314928,6449,723,41,4,0,15,13,4,0,42,77188192,7724,976,27,20,10,7,10,0,0,20,43614208,6708,718,36,8,2
43,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738140000000,1,12,13,2,0,32,73185012,7063,850,48,12,1,8,11,2,0,29,59626380,7240,796,40,8,3,8,9,2,0,23,55553024,7570,825,40,5,2,13,15,2,0,34,89692067,7124,962,48,4,1,16,16,2,0,38,104084065,7410,1002,44,6,2,15,14,2,0,35,98412030,8101,979,41,6,4,9,8,0,0,17,59944448,8205,866,44,4,1,8,11,2,0,25,68967584,7643,824,37,4,1,8,10,2,0,24,65725968,7585,832,38,5,3,9,9,0,0,18,66917376,8125,862,42,3,1
44,c5f6ef56acb04d78680165a983d69903f3ff362315365e7677788bb073e2504c,svchost.exe,133497738150000000,1,14,11,2,0,31,93723265,8246,966,36,7,2,9,11,2,0,26,76278276,7226,993,49,4,1,10,9,0,0,19,80460288,8581,941,46,4,2,8,11,2,0,25,82940208,7484,838,40,6,2,9,9,0,0,18,82169856,8101,864,42,5,1,7,9,2,0,22,73124784,6459,745,33,12,2,10,9,0,0,19,87804928,7632,1026,43,9,0,14,12,2,0,32,118450904,7293,997,36,6,1,14,11,2,0,30,115766705,7680,963,46,5,2,7,8,0,0,15,75080415,7232,800,53,3,2
